year,month,K-num_facilities,K-num_students,K-num_teachers,K-num_classes,K-avg_students_per_class,S-num_facilities,S-num_students,S-num_teachers,S-num_classes,S-avg_students_per_class,bargut_eligibility,bargut_eligibility-stem,Dropout_rate_country,dropout_Rate_middle_schoo,dropout_Rate_high_school,teachers_pre_minimal_skills_percentage,teachers_elementry_min_skills_per,teachers_middle_min_skills_per,teachers_high_min_skills_per
2014,12,16098,458878,15720,17577,27.9,4609,1622041,132438,62739,27.6,65.5,6.4,1.3,0.9,1.5,92.1,82,91.5,88
2015,12,16983,478347,16475,18336,27.9,4718,1663285,136165,64484,27.6,66.1,6.9,1.5,1.1,1.7,92.2,82,91.6,88
2016,12,18973,491225,16945,18973,27.8,4753,1694021,140571,66099,27.5,66.2,7.5,1.3,0.9,1.5,92.3,82,91.9,88.1
2017,12,19783,503281,17439,19783,27.3,4846,1726916,145138,67898,27.4,68.2,9,1.2,0.9,1.3,92.8,82,92.3,88.5
2018,12,19721,513767,18075,19721,28.2,4971,1763481,152689,69873,27.3,69.9,9.9,1.2,0.8,1.4,93.2,81.9,92.6,89.7
2019,12,20134,522536,18792,20134,28.2,5071,1795858,155424,71509,27.1,69.7,10.1,1,0.7,1.1,93.3,84.7,93.5,90.7
2020,12,20605,534378,19167,20605,29,5208,1835472,158821,73253,27.1,73.4,10.3,0.6,0.4,0.7,95,86,94.7,91.6
2021,12,20994,538228,19455,20994,28.9,5275,1881194,165946,75285,27.1,76,11,1,0.6,1.1,95.1,85.5,94.8,92.4
2022,12,21520,545920,21342,21520,28.8,5393,1911193,166916,77040,27.1,75.9,11.3,1.1,0.7,1.2,94.5,85.9,94.9,92.5
2023,12,21899,547373,22093,21899,28.6,5542,1956395,181169,79314,27.1,76.3,10.9,1.1,0.8,1.2,94.4,85.1,93.1,93.7
2024,12,21757,537430,22622,21757,27.8,5653,1986258,187818,81624,26.9,76.6,10.8,0.9,0.6,1,94.4,89.8,93.8,93.6
2025,12,21661,537117,22850,21658,,5709,2018269,193918,83413,,,,,,,,,,
