year,month,crime_rate_cases_1000,Security_Offenses,Public_Morality_Offenses,Property_Offenses,Sexual_Offenses,Fraud_Offenses,Offenses_Against_a_Person,Offenses_Against_the_Body,Public_Order_Offenses,Other_Offenses,car_steals_per_1000,women_murder_by_spause_jews,women_murder_by_spause_nonjews,women_murder_by_other_jews,women_murder_by_other_nonjews,safe_feel_walk_alone_atnight_neighberhood_man,safe_feel_walk_alone_atnight_neighberhood_woman
2015,12,40.3,17052,28870,149494,5640,18075,936,57894,121017,4821,5.2,7,4,5,12,90,71.6
2016,12,38.1,13286,31739,115647,5636,16667,860,58278,144143,4036,4.6,5,7,9,7,93.2,77.4
2017,12,37.6,13800,36289,138323,5943,14946,763,58003,119018,4884,3.7,10,0,1,10,91.7,79.3
2018,12,35,12085,37744,129250,5971,15616,735,58593,119061,5117,3.1,6,2,6,15,91,78
2019,12,32.7,11120,29347,121943,5754,16141,703,56892,114307,5535,2.8,3,2,4,8,91.7,79.6
2020,12,30.4,10221,26377,107766,5730,15507,874,56588,121157,5800,2.4,9,5,3,12,92.8,82.8
2021,12,32,14072,25452,117463,6760,15423,921,58594,126481,7221,3.3,4,2,6,15,89,76.8
2022,12,31.3,14051,18768,126814,6620,16329,940,59311,119914,9920,4.2,6,3,5,10,88,72.8
2023,12,30.8,15475,13434,129379,6442,16579,1546,59511,124003,10768,4.8,8,5,3,16,82.5,65.6
2024,12,28.8,12840,13007,122126,6599,17502,1659,59312,116491,11877,4.4,5,5,9,16,80.8,64.7
2025,12,32,16971,16172,129341,7144,20391,1226,60696,130184,10827,,7,5,11,21,,
