year,month,fatal,severe,light,population_thousands
2015,1,27,152,927,8309.1
2015,2,23,138,863,8320.8
2015,3,29,163,1040,8334.1
2015,4,20,174,862,8346.4
2015,5,36,183,989,8358.9
2015,6,25,173,933,8372.5
2015,7,21,165,951,8389.1
2015,8,35,188,1008,8405.5
2015,9,22,152,811,8419.9
2015,10,33,155,758,8435
2015,11,22,145,838,8448.9
2015,12,27,163,853,8463.4
2016,1,23,154,913,8476.2
2016,2,26,147,853,8487.9
2016,3,21,190,970,8501.7
2016,4,27,193,932,8513.6
2016,5,27,199,946,8526.8
2016,6,34,182,926,8540.2
2016,7,34,172,946,8555.1
2016,8,28,173,926,8571.5
2016,9,30,183,836,8586.8
2016,10,25,175,720,8600.2
2016,11,13,176,833,8614.9
2016,12,31,145,757,8628.6
2017,1,33,170,966,8641.4
2017,2,21,154,881,8653.3
2017,3,20,198,1000,8666.8
2017,4,31,160,885,8678.8
2017,5,28,201,1035,8692.3
2017,6,37,197,978,8706.3
2017,7,30,176,1011,8721.7
2017,8,20,175,965,8738.1
2017,9,26,155,883,8753
2017,10,28,174,921,8768.5
2017,11,26,167,882,8783.2
2017,12,23,151,820,8797.9
2018,1,24,168,889,8811.1
2018,2,32,149,814,8822.7
2018,3,21,189,993,8835.9
2018,4,20,151,785,8849.3
2018,5,24,168,893,8862.5
2018,6,20,179,927,8875.9
2018,7,21,155,901,8891.4
2018,8,21,167,893,8908.1
2018,9,17,151,756,8922
2018,10,32,170,891,8938.5
2018,11,29,155,752,8953
2018,12,26,144,869,8967.6
2019,1,26,176,941,8980.8
2019,2,25,162,833,8992.5
2019,3,24,190,916,9006
2019,4,25,154,808,9019.2
2019,5,18,213,951,9034.1
2019,6,28,160,885,9048
2019,7,28,189,904,9063.9
2019,8,29,160,763,9080.2
2019,9,24,191,868,9096
2019,10,32,170,742,9111.4
2019,11,27,197,808,9126.3
2019,12,33,172,798,9140.5
2020,1,23,151,812,9153.6
2020,2,22,153,799,9165.9
2020,3,15,137,542,9177.8
2020,4,18,77,361,9188.5
2020,5,27,181,708,9200.1
2020,6,25,190,803,9212.4
2020,7,29,167,810,9225.4
2020,8,35,186,842,9239.1
2020,9,26,172,653,9252.1
2020,10,24,173,760,9264.7
2020,11,14,157,765,9277.5
2020,12,28,155,796,9289.8
2021,1,16,149,697,9300.1
2021,2,29,138,749,9310.3
2021,3,25,201,867,9323.8
2021,4,42,195,809,9337.6
2021,5,28,173,734,9350.9
2021,6,32,207,838,9364.7
2021,7,25,201,752,9379.9
2021,8,27,199,756,9396
2021,9,27,183,638,9409.9
2021,10,35,211,747,9425.1
2021,11,24,195,711,9438.9
2021,12,26,156,712,9453
2022,1,23,160,698,9464.8
2022,2,28,150,648,9474.8
2022,3,28,185,744,9496.4
2022,4,33,210,684,9514.3
2022,5,30,261,694,9532.6
2022,6,23,212,657,9550.9
2022,7,18,211,686,9568.4
2022,8,26,189,630,9587.1
2022,9,24,186,614,9603.3
2022,10,30,194,547,9621.5
2022,11,28,187,554,9642.2
2022,12,28,175,609,9662
2023,1,25,205,582,9776.2
2023,2,26,166,517,9792.9
2023,3,25,191,554,9811.3
2023,4,32,213,506,9823.2
2023,5,28,213,574,9837.2
2023,6,35,226,515,9849
2023,7,34,201,548,9861.8
2023,8,23,228,547,9873.3
2023,9,27,192,501,9882.1
2023,10,24,156,290,9894.6
2023,11,29,204,452,9904.6
2023,12,30,179,534,9914.7
2024,1,29,202,552,9925.3
2024,2,26,211,535,9934.1
2024,3,40,199,526,9944.1
2024,4,38,212,458,9953.7
2024,5,42,229,481,9964.9
2024,6,37,200,423,10002.2
2024,7,30,220,490,10010.6
2024,8,31,199,398,10018.2
2024,9,33,219,444,10029.5
2024,10,40,179,385,10030.9
2024,11,19,197,385,10042.7
2024,12,40,185,381,10054.8
2025,1,35,207,428,10081.7
2025,2,27,179,376,10089.9
2025,3,49,264,448,10098.3
2025,4,36,207,427,10106.6
2025,5,36,241,465,10115.2
2025,6,28,204,369,10122.8
2025,7,47,226,389,10131.8
2025,8,35,195,406,10140.7
2025,9,40,196,419,10147.2
2025,10,41,201,383,10155.6
2025,11,30,208,367,10166.8
2025,12,34,141,325,10176.9
2026,1,34,170,351,10187
2026,2,34,157,298,10196.7
2026,3,23,118,246,10205.4
